prop,propLabel,count,total humans with ID,SDBM is % of total,Reviewer(s),Query,Thoughts
http://www.wikidata.org/entity/P6441,"""Douban author ID""@en",12,451,2.66,,,
http://www.wikidata.org/entity/P1695,"""NLP ID (old)""@en",1601,60379,2.65,,,
http://www.wikidata.org/entity/P2342,"""AGORHA person/institution ID""@en",345,13020,2.65,,,
http://www.wikidata.org/entity/P3788,"""BNMM authority ID""@en",188,7135,2.63,,,
http://www.wikidata.org/entity/P1415,"""Oxford Dictionary of National Biography ID""@en",1593,60699,2.62,,,
http://www.wikidata.org/entity/P8085,"""Curran Index contributor ID""@en",56,2153,2.60,,,
http://www.wikidata.org/entity/P2011,"""Cooper-Hewitt person ID""@en",47,1808,2.60,,,
http://www.wikidata.org/entity/P8603,"""Istrapedia ID""@en",14,539,2.60,,,
http://www.wikidata.org/entity/P5739,"""Pontificia Università della Santa Croce ID""@en",1558,60747,2.56,,,
http://www.wikidata.org/entity/P10114,"""Natural History Museum (London) person ID""@en",1,39,2.56,,,
http://www.wikidata.org/entity/P5298,"""Webb-site person ID""@en",133,5201,2.56,,,
http://www.wikidata.org/entity/P7349,"""Gazetteer for Scotland person ID""@en",65,2546,2.55,,,
http://www.wikidata.org/entity/P10849,"""Beamish peerage database person ID""@en",123,4818,2.55,,,
http://www.wikidata.org/entity/P8590,"""Jewish Encyclopedia ID""@en",26,1020,2.55,,,
http://www.wikidata.org/entity/P11120,"""Rai Teche person ID""@en",22,867,2.54,,,
http://www.wikidata.org/entity/P7444,"""Rijksmuseum Research Library authority ID""@en",522,20636,2.53,,,
http://www.wikidata.org/entity/P949,"""National Library of Israel ID (old)""@en",1786,70841,2.52,,,
http://www.wikidata.org/entity/P11249,"""KBR person ID""@en",1,40,2.50,,,
http://www.wikidata.org/entity/P10297,"""Google Arts & Culture entity ID""@en",458,18671,2.45,,,
http://www.wikidata.org/entity/P7977,"""AncientFaces person ID""@en",1,41,2.44,,,
http://www.wikidata.org/entity/P1599,"""Cambridge Alumni Database ID""@en",268,11082,2.42,,,
http://www.wikidata.org/entity/P9053,"""Projecto Vercial author ID""@en",8,333,2.40,,,
http://www.wikidata.org/entity/P6234,"""Biographie nationale de Belgique ID""@en",58,2420,2.40,,,
http://www.wikidata.org/entity/P3065,"""RERO ID""@en",2509,106071,2.37,,,
http://www.wikidata.org/entity/P1315,"""NLA Trove people ID""@en",2510,106315,2.36,,,
